"uid","namedLocation","domainID","siteID","plotID","trapID","weighDate","setDate","collectDate","ovenStartDate","ovenEndDate","fieldSampleID","massSampleID","samplingProtocolVersion","functionalGroup","dryMass","qaDryMass","remarks","measuredBy"
"2bb072ad-f08c-471d-b198-36a409c8629f","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_451","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034451.20160406","NEON.LTR.BART034451.20160406.WDY","NEON.DOC.001710vE","Woody material",1.11,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"69b8653d-5b05-4cb6-bab4-cdc5f9383bc4","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_451","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034451.20160406","NEON.LTR.BART034451.20160406.SDS","NEON.DOC.001710vE","Seeds",0.16,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"17b2445e-fdbe-486f-ae0a-7e56eee7c3b6","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_451","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034451.20160406","NEON.LTR.BART034451.20160406.LVS","NEON.DOC.001710vE","Leaves",0.08,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"3790499f-5091-4b7c-ac0b-fa1d8ba86d30","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_451","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034451.20160406","NEON.LTR.BART034451.20160406.TWI","NEON.DOC.001710vE","Twigs/branches",4.01,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"66acaae2-2df9-4ec7-8b9f-c7c820c1da22","BART_034.basePlot.ltr","D01","BART","BART_034","BART_034_451","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART034451.20160406","NEON.LTR.BART034451.20160406.NDL","NEON.DOC.001710vE","Needles",1.03,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"f409c19e-b21d-436b-b5f3-d9d72e6c37a9","BART_051.basePlot.ltr","D01","BART","BART_051","BART_051_813","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART051813.20160406","NEON.LTR.BART051813.20160406.LVS","NEON.DOC.001710vE","Leaves",0.23,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"b3ad0d2e-9f29-4eca-b6ee-e81f1dcc9ef9","BART_051.basePlot.ltr","D01","BART","BART_051","BART_051_813","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART051813.20160406","NEON.LTR.BART051813.20160406.FLR","NEON.DOC.001710vE","Flowers",0.06,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"bdc1fdfe-0d50-4379-afd8-004738e77b3a","BART_051.basePlot.ltr","D01","BART","BART_051","BART_051_813","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART051813.20160406","NEON.LTR.BART051813.20160406.NDL","NEON.DOC.001710vE","Needles",1.28,"Y",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"1f0a312f-6f72-4bcb-82c1-4005438f24ab","BART_051.basePlot.ltr","D01","BART","BART_051","BART_051_813","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART051813.20160406","NEON.LTR.BART051813.20160406.OTH","NEON.DOC.001710vE","Other",3.01,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
"af16f8e8-1d93-466e-b101-453f7c253de6","BART_051.basePlot.ltr","D01","BART","BART_051","BART_051_813","2016-04-25","2015-11-24","2016-04-06","2016-04-21T20:36Z","2016-04-25T13:45Z","NEON.LTR.BART051813.20160406","NEON.LTR.BART051813.20160406.WDY","NEON.DOC.001710vE","Woody material",4.18,"N",NA,"2xX6mTIEU2zzk+aGAURxuwRthSzBo/kx"
